Constant	Integer ID	Description
TAG_END	0	Marks the end of a compound tag.
TAG_BYTE	1	A single signed 8-bit integer.
TAG_SHORT	2	A signed 16-bit integer.
TAG_INT	3	A signed 32-bit integer.
TAG_LONG	4	A signed 64-bit integer.
TAG_FLOAT	5	A single-precision floating-point number.
TAG_DOUBLE	6	A double-precision floating-point number.
TAG_BYTE_ARRAY	7	An array of bytes.
TAG_STRING	8	A UTF-8 string.
TAG_LIST	9	A list of tags of the same type.
TAG_COMPOUND	10	A collection of named tags.
TAG_INT_ARRAY	11	An array of 32-bit integers.
TAG_ANY_NUMERIC	99	A special Forge constant representing any numeric type (not a standard NBT ID).
